iter	Passed	Remaining
0	3	383
1	8	395
2	11	362
3	13	324
4	15	293
5	17	269
6	19	254
7	20	239
8	22	226
9	24	217
10	25	207
11	27	198
12	28	189
13	29	181
14	30	174
15	32	168
16	33	162
17	34	156
18	35	150
19	36	145
20	38	143
21	39	141
22	41	137
23	41	132
24	42	128
25	43	124
26	44	120
27	45	117
28	46	113
29	47	110
30	47	106
31	48	103
32	49	100
33	50	97
34	51	95
35	53	94
36	55	94
37	56	92
38	57	89
39	58	87
40	58	84
41	59	81
42	60	79
43	60	77
44	61	75
45	62	73
46	63	71
47	64	69
48	65	67
49	65	65
50	66	64
51	69	64
52	70	62
53	71	60
54	71	58
55	72	57
56	73	55
57	74	53
58	75	52
59	75	50
60	76	49
61	77	47
62	78	45
63	78	44
64	79	42
65	80	41
66	81	40
67	84	39
68	85	38
69	86	36
70	86	35
71	87	34
72	88	32
73	89	31
74	90	30
75	91	28
76	91	27
77	92	26
78	93	24
79	94	23
80	95	22
81	97	21
82	98	20
83	99	18
84	100	17
85	101	16
86	101	15
87	102	14
88	103	12
89	104	11
90	105	10
91	105	9
92	106	8
93	107	6
94	108	5
95	109	4
96	111	3
97	112	2
98	113	1
99	114	0
